date,close_bbg
7/9/2019,1316.79
7/10/2019,1324.5
7/11/2019,1326.71
7/12/2019,1332.32
7/15/2019,1333.24
7/16/2019,1328.17
7/17/2019,1319.85
7/18/2019,1323.72
7/19/2019,1315.42
7/22/2019,1320.12
7/23/2019,1328.49
7/24/2019,1334.49
7/25/2019,1328.03
7/26/2019,1339.87
7/29/2019,1337.77
7/30/2019,1332.65
7/31/2019,1317.09
8/1/2019,1305.66
8/2/2019,1296.65
8/5/2019,1256.99
8/6/2019,1273.35
8/7/2019,1273
8/8/2019,1296.68
8/9/2019,1287.65
8/12/2019,1272.66
8/13/2019,1292.61
8/14/2019,1255.1
8/15/2019,1256.83
8/16/2019,1275.19
8/19/2019,1291.29
8/20/2019,1280.77
8/21/2019,1292.09
8/22/2019,1291.31
8/23/2019,1256.91
8/26/2019,1271.79
8/27/2019,1268.06
8/28/2019,1276.24
8/29/2019,1291.77
8/30/2019,1292.38
9/3/2019,1282.96
9/4/2019,1297.53
9/5/2019,1315.51
9/6/2019,1315.73
9/9/2019,1316.78
9/10/2019,1317.44
9/11/2019,1327.87
9/12/2019,1331.98
9/13/2019,1330.97
9/16/2019,1324.3
9/17/2019,1327.12
9/18/2019,1328.12
9/19/2019,1328.66
9/20/2019,1321.7
9/23/2019,1321.21
9/24/2019,1308.76
9/25/2019,1318.62
9/26/2019,1313.96
9/27/2019,1308.66
9/30/2019,1315.25
10/1/2019,1300.68
10/2/2019,1276.91
10/3/2019,1287.74
10/4/2019,1306.99
10/7/2019,1301.93
10/8/2019,1282.82
10/9/2019,1294.12
10/10/2019,1302.41
10/11/2019,1315.77
10/14/2019,1314.56
10/15/2019,1328.43
10/16/2019,1326.73
10/17/2019,1329.82
10/18/2019,1321.61
10/21/2019,1331.59
10/22/2019,1327.59
10/23/2019,1330.97
10/24/2019,1333.22
10/25/2019,1340.72
10/28/2019,1350.57
10/29/2019,1345.85
10/30/2019,1351.83
10/31/2019,1349.76
11/1/2019,1363.03
11/4/2019,1369.37
11/5/2019,1369.11
11/6/2019,1369.79
11/7/2019,1374.8
11/8/2019,1379.11
11/11/2019,1376.64
11/12/2019,1378.61
11/13/2019,1378.84
11/14/2019,1378.34
11/15/2019,1388.81
11/18/2019,1390.32
11/19/2019,1387.59
11/20/2019,1382.01
11/21/2019,1381.29
11/22/2019,1384.81
11/25/2019,1395
11/26/2019,1397.76
11/27/2019,1404.15
11/29/2019,1398.63
12/2/2019,1387.38
12/3/2019,1377.76
12/4/2019,1386.45
12/5/2019,1388.58
12/6/2019,1402.31
12/9/2019,1398.34
12/10/2019,1396.76
12/11/2019,1400.83
12/12/2019,1412.56
12/13/2019,1413.62
12/16/2019,1423.85
12/17/2019,1425.14
12/18/2019,1423.08
12/19/2019,1429.91
12/20/2019,1435.65
12/23/2019,1438
12/24/2019,1437.1
12/26/2019,1447.27
12/27/2019,1447.47
12/30/2019,1438.14
12/31/2019,1442.17
1/2/2020,1458.13
1/3/2020,1446.48
1/6/2020,1452.81
1/7/2020,1447.36
1/8/2020,1455.49
1/9/2020,1466.47
1/10/2020,1462.07
1/13/2020,1473.11
1/14/2020,1469.52
1/15/2020,1472.23
1/16/2020,1483.51
1/17/2020,1489.62
1/21/2020,1485.68
1/22/2020,1486.7
1/23/2020,1487.22
1/24/2020,1474.44
1/27/2020,1451.2
1/28/2020,1465.56
1/29/2020,1466.7
1/30/2020,1471.24
1/31/2020,1446.71
2/3/2020,1457.54
2/4/2020,1479.79
2/5/2020,1496.14
2/6/2020,1504.14
2/7/2020,1498.07
2/10/2020,1510.36
2/11/2020,1508.33
2/12/2020,1517.81
2/13/2020,1513.23
2/14/2020,1515.53
2/18/2020,1511.12
2/19/2020,1518.94
2/20/2020,1511.27
2/21/2020,1493.89
2/24/2020,1440.32
2/25/2020,1398.12
2/26/2020,1395.45
2/27/2020,1331.58
2/28/2020,1324.43
3/2/2020,1388.71
3/3/2020,1346.23
3/4/2020,1402.72
3/5/2020,1356.1
3/6/2020,1335.46
3/9/2020,1237.51
3/10/2020,1300.49
3/11/2020,1238.84
3/12/2020,1123.43
3/13/2020,1237.2
3/16/2020,1094.07
3/17/2020,1159.11
3/18/2020,1110.59
3/19/2020,1114.6
3/20/2020,1065.65
3/23/2020,1040
3/24/2020,1130.42
3/25/2020,1135.2
3/26/2020,1204.5
3/27/2020,1162.3
3/30/2020,1204.14
3/31/2020,1187.48
4/1/2020,1139.31
4/2/2020,1168.51
4/3/2020,1151.57
4/6/2020,1228.15
4/7/2020,1222.75
4/8/2020,1258.45
4/9/2020,1271.2
4/13/2020,1266.47
4/14/2020,1307.09
4/15/2020,1283.68
4/16/2020,1292.9
4/17/2020,1320.68
4/20/2020,1299.38
4/21/2020,1259.47
4/22/2020,1288.38
4/23/2020,1288.64
4/24/2020,1306.32
4/27/2020,1320.13
4/28/2020,1307.17
4/29/2020,1342.67
4/30/2020,1338.02
5/1/2020,1302.16
5/4/2020,1307.81
5/5/2020,1318.69
5/6/2020,1313.03
5/7/2020,1325.44
5/8/2020,1345.19
5/11/2020,1348.41
5/12/2020,1322.87
5/13/2020,1302.87
5/14/2020,1317.39
5/15/2020,1323.54
5/18/2020,1357.88
5/19/2020,1344.1
5/20/2020,1366.99
5/21/2020,1356.16
5/22/2020,1358.94
5/26/2020,1369.98
5/27/2020,1386.61
5/28/2020,1382.8
5/29/2020,1389.63
6/1/2020,1392.95
6/2/2020,1403.42
6/3/2020,1418.33
6/4/2020,1413.08
6/5/2020,1448.33
6/8/2020,1464.58
6/9/2020,1460.8
6/10/2020,1459.78
6/11/2020,1376.79
6/12/2020,1393.26
6/15/2020,1403.1
6/16/2020,1430.1
6/17/2020,1426.14
6/18/2020,1427.78
6/19/2020,1422.04
6/22/2020,1433.74
6/23/2020,1442.82
6/24/2020,1408.84
6/25/2020,1424.96
6/26/2020,1386.05
6/29/2020,1405.85
6/30/2020,1427.23
7/1/2020,1437.22
7/2/2020,1442.95
7/6/2020,1470.63
7/7/2020,1456.52
7/8/2020,1471.15
7/9/2020,1466.04
7/10/2020,1481.96
7/13/2020,1466.64
7/14/2020,1483.8
7/15/2020,1490.35
7/16/2020,1484.35
7/17/2020,1484.71
7/20/2020,1504.11
7/21/2020,1502.96
7/22/2020,1509.43
7/23/2020,1483.69
7/24/2020,1474.12
7/27/2020,1486.1
7/28/2020,1477.1
7/29/2020,1491.62
7/30/2020,1487.87
7/31/2020,1504.93
8/3/2020,1519.44
8/4/2020,1524.36
8/5/2020,1535.42
8/6/2020,1551.21
8/7/2020,1547.9
8/10/2020,1550.69
8/11/2020,1536
8/12/2020,1560.59
8/13/2020,1557.83
8/14/2020,1557.29
8/17/2020,1561.28
8/18/2020,1569.45
8/19/2020,1563.03
8/20/2020,1573.73
8/21/2020,1582.16
8/24/2020,1597.89
8/25/2020,1604.88
